Galaxy,in_out,Gal_type,Image_source,Pec,Bar,Type,disk,Core,core?,distance(Mpc),Err_dist Mpc,z,mass_BH,neg_err_mass_BH,pos_err_mass_BH,Log_Mass_BH,Log_neg_err_Mbh,Log_pos_err_Mbh,Avg_Log_err_Mbh,Reference_Mbh,Method_Mbh,Mag_apar_sph,Mag_apar_tot,Gulias_sph_mag_Vega,Gulias_sph_mag_AB,Mag_abso_sph_New,Gulias_tot_mag_Vega,Gulias_tot_mag_AB,Mag_abso_tot_New,Mass_Sph_ML_0.8_0.7_3.8,Log_Mass_Sph_ML_0.8_0.7_3.8,Mass_Gal_ML_0.8_0.7_3.8,Log_Mass_Gal_ML_0.8_0.7_3.8,Log_Mgal_var_ML,Log_Msph_var_ML,Sph_mass_new,Log_Sph_mass_new,Gal_mass_new,Log_Gal_mass_new,Grade,Dist_err_%,Dist_err_quad,M/L_err_%,M/L_err_quad,Dec_err_mag,Dec_err_quad,Err_Log_mass_sph_quad,Dist_err_for_mbh,Err_Log_Mbh_dex,Err_log_mass_gal_dex,COMMENTS,M_bulge/M_gal,Mbh/Msph,Mbh/Mgal,Log_Mbh_Msph_Ratio,Err_Log_Mbh_Msph_Ratio,Log_Mbh_Mgal_Ratio,Err_Log_Mbh_Mgal_Ratio
ic1459,i,ETG,-,-,nb,E,E,yes,yes,28.4,,0.00638495,2.40000E+09,1.00000E+09,1.00000E+09,9.38021E+00,2.34083E-01,1.51268E-01,1.92675E-01,-,-,,,-2.61500E+01,-2.33900E+01,-2.34176E+01,-2.61500E+01,-2.33900E+01,-2.34176E+01,4.17018E+11,1.16202E+01,4.17018E+11,1.16202E+01,1.15920E+01,1.15920E+01,3.57444E+11,1.15532E+01,3.57444E+11,1.15532E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,1.95059E-01,1.20000E-01,,1.00000E+00,0.00576,0.00576,-2.17300E+00,2.28886E-01,-2.17300E+00,0.229015333
m105,i,ETG,-,-,nb,E,E,yes,yes,10.3,,0.002315669,4.00000E+08,1.00000E+08,1.00000E+08,8.60206E+00,1.24939E-01,9.69100E-02,1.10924E-01,-,-,,,-2.42900E+01,-2.15300E+01,-2.15400E+01,-2.42900E+01,-2.15300E+01,-2.15400E+01,7.39803E+10,1.08691E+01,7.39803E+10,1.08691E+01,1.07694E+01,1.07694E+01,6.34117E+10,1.08022E+01,6.34117E+10,1.08022E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.15015E-01,1.20000E-01,,1.00000E+00,0.00541,0.00541,-2.20011E+00,2.80658E-01,-2.20011E+00,0.166217972
m49,i,ETG,-,-,nb,E,E,yes,yes,17.1,,0.00384446,2.50000E+09,1.00000E+08,3.00000E+08,9.39794E+00,1.77288E-02,4.92180E-02,3.34734E-02,-,-,,,-2.65400E+01,-2.37800E+01,-2.37967E+01,-2.65400E+01,-2.37800E+01,-2.37967E+01,5.91240E+11,1.17718E+01,5.91240E+11,1.17718E+01,1.17039E+01,1.17039E+01,5.06777E+11,1.17048E+01,5.06777E+11,1.17048E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,4.52180E-02,1.20000E-01,,1.00000E+00,0.00423,0.00423,-2.30688E+00,1.28005E-01,-2.30688E+00,0.128236756
m59,i,ETG,-,-,nb,E,E,no,no,17.8,,0.004001835,3.90000E+08,4.00000E+07,4.00000E+07,8.59106E+00,4.69966E-02,4.24038E-02,4.47002E-02,-,-,,,-2.51800E+01,-2.24200E+01,-2.24373E+01,-2.52700E+01,-2.25100E+01,-2.25273E+01,1.69058E+11,1.12280E+01,1.83669E+11,1.12640E+01,1.11411E+01,1.11051E+01,1.44907E+11,1.11611E+01,1.57431E+11,1.11971E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,5.40584E-02,1.20000E-01,,9.20450E-01,0.00231,0.00212,-2.57002E+00,1.31388E-01,-2.60602E+00,0.131614231
m84,i,ETG,-,-,nb,E,E,yes,yes,17.9,,0.004024317,9.00000E+08,8.00000E+07,9.00000E+07,8.95424E+00,4.04287E-02,4.13927E-02,4.09107E-02,-,-,,,-2.60100E+01,-2.32500E+01,-2.32674E+01,-2.60100E+01,-2.32500E+01,-2.32674E+01,3.63141E+11,1.15601E+01,3.63141E+11,1.15601E+01,1.14575E+01,1.14575E+01,3.11263E+11,1.14931E+01,3.11263E+11,1.14931E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,5.09694E-02,1.20000E-01,,1.00000E+00,0.00248,0.00248,-2.53889E+00,2.61033E-01,-2.53889E+00,0.130375919
m87,i,ETG,-,pec,nb,E,E,yes,yes,15.6,,0.003507226,5.80000E+09,3.50000E+08,3.50000E+08,9.76343E+00,2.70315E-02,2.54471E-02,2.62393E-02,-,-,,,-2.60000E+01,-2.32400E+01,-2.32552E+01,-2.60000E+01,-2.32400E+01,-2.32552E+01,3.59071E+11,1.15552E+01,3.59071E+11,1.15552E+01,1.14336E+01,1.14336E+01,3.07775E+11,1.14882E+01,3.07775E+11,1.14882E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,4.01584E-02,1.20000E-01,,1.00000E+00,0.01615,0.01615,-1.72481E+00,2.59139E-01,-1.72481E+00,0.126541292
n0821,i,ETG,-,-,nb,E,E,no,no,23.4,,0.005260839,3.90000E+07,9.00000E+06,2.60000E+07,7.59106E+00,1.13943E-01,2.21849E-01,1.67896E-01,-,-,,,-2.40000E+01,-2.12400E+01,-2.12628E+01,-2.42600E+01,-2.15000E+01,-2.15228E+01,5.73077E+10,1.07582E+01,7.28137E+10,1.08622E+01,1.07186E+01,1.06146E+01,4.91209E+10,1.06913E+01,6.24117E+10,1.07953E+01,Grade-3,7,0.060801227,15,0.065144172,0.8,0.32,0.332175484,0.030400614,1.70626E-01,1.20000E-01,,7.87046E-01,0.00068,0.00054,-3.10020E+00,3.73435E-01,-3.20420E+00,0.208598375
n1023,i,ETG,-,-,b,S0-bar,S,no,no,11.1,,0.002495526,4.20000E+07,4.00000E+06,4.00000E+06,7.62325E+00,4.34657E-02,3.95085E-02,4.14871E-02,-,-,,,-2.28200E+01,-2.00600E+01,-2.00708E+01,-2.42000E+01,-2.14400E+01,-2.14508E+01,1.91174E+10,1.02814E+01,6.81440E+10,1.08334E+01,1.07691E+01,1.02171E+01,1.63863E+10,1.02145E+01,5.84092E+10,1.07665E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,5.14332E-02,1.20000E-01,,2.80543E-01,0.00220,0.00062,-2.59123E+00,1.30330E-01,-3.14323E+00,0.130557949
n1316,o,ETG,-,pec*,nb,merger,S,no,no,18.6,,0.004181693,1.50000E+08,8.00000E+07,7.50000E+07,8.17609E+00,3.30993E-01,1.76091E-01,2.53542E-01,-,-,,,-2.48900E+01,-2.21300E+01,-2.21481E+01,-2.64800E+01,-2.37200E+01,-2.37381E+01,1.29523E+11,1.11123E+01,5.60205E+11,1.17483E+01,1.16481E+01,1.10121E+01,1.11020E+11,1.10454E+01,4.80176E+11,1.16814E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,2.55358E-01,1.20000E-01,,2.31206E-01,0.00116,0.00027,-2.86931E+00,3.61592E-01,-3.50531E+00,0.282148656
n1332,i,ETG,-,-,nb,E/S0,S,no,no,22.3,,0.005013535,1.45000E+09,2.00000E+08,2.00000E+08,9.16137E+00,6.44580E-02,5.61159E-02,6.02870E-02,-,-,,,-2.48900E+01,-2.21300E+01,-2.21517E+01,-2.49500E+01,-2.21900E+01,-2.22117E+01,1.29953E+11,1.11138E+01,1.37336E+11,1.11378E+01,1.11053E+01,1.10813E+01,1.11388E+11,1.10468E+01,1.17717E+11,1.10708E+01,Grade-3,7,0.060801227,15,0.065144172,0.8,0.32,0.332175484,0.030400614,6.75183E-02,1.20000E-01,,9.46237E-01,0.01116,0.01056,-1.88547E+00,3.38968E-01,-1.90947E+00,0.137690652
